Ligand 1;Ligand 2;Ligand 3;Ligand 4;Receptor 1;Receptor 2;Receptor 3;Receptor 4;Receptor 5;Alias;Family;Subfamily;Other family;Reference
TIMP1;MMP9;;;LRP1;;;;;;;;;11279011
LTB;LTA;;;LTBR;;;;;TNFSF3=LTB / TNFRSF3 = LTBR;Cytokine;TNF;;11239407
ITGAV;ITGB5;;;ADGRB1;;;;;;Cell adhesion;Adhesion GPCR;;"14980512 ; 28968187"
ITGAV;ITGB3;;;ADGRA2;;;;;;Cell adhesion;Adhesion GPCR;;"16982628 ; 28968187"
ITGAV;ITGB3;;;ADGRE5;;;;;;Cell adhesion;Adhesion GPCR;;15576472
ITGA5;ITGB1;;;ADGRE5;;;;;;Cell adhesion;Adhesion GPCR;;15576472
INHBA;INHBB;;;ACVR1B;ACVR2B;;;;;Cytokine;TGF;;"8622651; 8721982"
INHBA;INHBB;;;ACVR1C;ACVR2B;;;;;Cytokine;TGF;;"8622651; 8721982"
INHBA;INHBB;;;ACVR1B;ACVR2A;;;;;Cytokine;TGF;;"8622651; 8721982"
INHBA;INHBB;;;ACVR1C;ACVR2A;;;;;Cytokine;TGF;;"8622651; 8721982"
EBI3;IL27;;;IL27RA;IL6ST;;;;"IL30=IL27p28 ; IL27=IL27+EBI3";Cytokine;type 1;;"14764690 ; 9143707"
IL12B;IL23A;;;IL12RB1;IL23R;;;;;Cytokine;type 1;;12023369
IL12A;IL12B;;;IL12RB1;IL12RB2;;;;;Cytokine;type 1;;9143707
IL27;IL12A;;;IL27RA;IL12RB2;;;;IL12A=p35;Cytokine;type 1;;24743305
EBI3;IL12A;;;IL6ST;IL12RB2;;;;IL35 = IL12A + EBI3;Cytokine;type 1;;"22306691;  25919641"
IGHG1;IGLC1;;;FCGR2B;;;;;;Innate immune;;;10917521
IGHG1;IGLC1;;;FCGR3B;;;;;;Innate immune;;;10917521
BMP15;GDF9;;;BMPR1B;BMPR2;ACVR1B;;;GDF9b;Cytokine;TGF;;23382188
UNC5D;FLRT2;;;ADGRL3;;;;;;Cell adhesion;Adhesion GPCR;;27091502
FGA;FGG;FGB;;ITGA2B;ITGB3;;;;;ECM interaction;;;26867579
FGA;FGG;FGB;;ITGB2;ITGAM;;;;;ECM interaction;;;16601240
FGA;FGG;FGB;;TLR4;;;;;;Innate immune;TLR;;24661950
IL34;CSF1;;;CSF1R;;;;;;Cytokine;RTK;;26095744
CLCF1;CRLF1;;;CNTFR;IL6ST;;;;IL6ST=gp130;Cytokine;type 1;;7852997
ZG16B;;;;CXCR4;TLR2;;;;;Innate immune;TLR;;20802527
FGF2;;;;FGFR1;TGFBR3;;;;;Growth factor;FGF family;;24216509
TGFB2;;;;TGFBR1;TGFBR2;;;;;Cytokine;TGF;;7693660
TGFB3;;;;TGFBR1;TGFBR2;;;;;Cytokine;TGF;;7693660
TGFB1;;;;TGFBR1;TGFBR2;;;;;Cytokine;TGF;;"7693660; 1333888; 8242743"
IL37;;;;IL18R1;SIGIRR;;;;;Cytokine;IL1 family;;"20959797; 24332029, 25729923"
WNT7A;;;;ADGRA2;RECK;FZD5;LRP6;;;Wnt pathway;;;30026314
WNT7B;;;;ADGRA2;RECK;FZD5;LRP6;;;Wnt pathway;;;30026314
WNT7A;;;;ADGRA2;RECK;FZD5;LRP5;;;Wnt pathway;;;30026314
WNT7B;;;;ADGRA2;RECK;FZD5;LRP5;;;Wnt pathway;;;30026314
ADM;;;;CALCRL;RAMP3;;;;;;;;9620797
IAPP;;;;CALCRL;RAMP3;;;;;;;;"25409149; 15361343"
ADM;;;;CALCR;RAMP2;;;;;;;;15692146, 12565884,
IAPP;;;;CALCRL;RAMP2;;;;;;;;15361343
IAPP;;;;CALCRL;RAMP1;;;;IAPP=amylin;;;;15361343
CALCA;;;;CALCRL;RAMP1;;;;;;;;"9620797; 15361343"
CALCB;;;;CALCRL;RAMP1;;;;;;;;"9620797; 15361343"
SEMA3C;;;;NRP1;PLXND1;;;;;;Semaphorin;;26194913
SEMA3G;;;;NRP2;PLXND1;;;;;;Semaphorin;;27880905
SEMA3A;;;;NRP1;PLXNA4;;;;;;Semaphorin;;20026901
SEMA3A;;;;NRP1;PLXNA3;;;;;;Semaphorin;;20026901
SEMA3A;;;;NRP1;PLXNA2;;;;;;Semaphorin;;23104057
SEMA6A;;;;NRP1;PLXNA2;;;;;;Semaphorin;;25335892
SEMA3B;;;;PLXNA4;PLXNA2;NRP1;;;;;Semaphorin;;25335892
SEMA3B;;;;PLXNA4;PLXNA2;NRP2;;;;;Semaphorin;;25335892
SEMA3A;;;;NRP1;PLXNA1;PLXNA4;;;;;Semaphorin;;21832283
SEMA3A;;;;NRP1;PLXNA1;;;;;;Semaphorin;;22723296
IL31;;;;IL31RA;OSMR;;;;;Cytokine;type 1;;18926762
SEMA4D;;;;PLXNB1;MET;;;;;;Semaphorin;;12198496
SEMA5A;;;;PLXNB3;MET;;;;;;Semaphorin;;15218527
WNT10A;;;;FZD1;LRP6;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD1;LRP6;;;;;Wnt pathway;;;28733458
WNT7A;;;;FZD1;LRP6;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD1;LRP6;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD1;LRP6;;;;;Wnt pathway;;;28733458
WNT5B;;;;FZD1;LRP6;;;;;Wnt pathway;;;34017835
WNT1;;;;FZD1;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT2;;;;FZD1;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT3A;;;;FZD1;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5A;;;;FZD1;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT7A;;;;FZD10;LRP6;;;;;Wnt pathway;;;18567805
WNT3;;;;FZD10;LRP6;;;;;Wnt pathway;;;28733458
WNT3A;;;;FZD10;LRP6;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD10;LRP6;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD10;LRP6;;;;;Wnt pathway;;;28733458
WNT9B;;;;FZD10;LRP6;;;;;Wnt pathway;;;28733458
WNT1;;;;FZD2;LRP6;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD2;LRP6;;;;;Wnt pathway;;;28733458
WNT3A;;;;FZD2;LRP6;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD2;LRP6;;;;;Wnt pathway;;;28733458
WNT5B;;;;FZD2;LRP6;;;;;Wnt pathway;;;34017835
WNT5A;;;;FZD2;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT2;;;;FZD3;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT3A;;;;FZD3;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5A;;;;FZD3;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT1;;;;FZD4;LRP6;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD4;LRP6;;;;;Wnt pathway;;;28733458
WNT3A;;;;FZD4;LRP6;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD4;LRP6;;;;;Wnt pathway;;;28733458
WNT9B;;;;FZD4;LRP6;;;;;Wnt pathway;;;28733458
WNT5B;;;;FZD4;LRP6;;;;;Wnt pathway;;;34017835
WNT2;;;;FZD4;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT2B;;;;FZD4;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT7B;;;;FZD4;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT1;;;;FZD5;LRP6;;;;;Wnt pathway;;;28733458
WNT10A;;;;FZD5;LRP6;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD5;LRP6;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD5;LRP6;;;;;Wnt pathway;;;28733458
WNT8A;;;;FZD5;LRP6;;;;;Wnt pathway;;;28733458
WNT8B;;;;FZD5;LRP6;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD5;LRP6;;;;;Wnt pathway;;;28733458
WNT9B;;;;FZD5;LRP6;;;;;Wnt pathway;;;28733458
WNT5B;;;;FZD5;LRP6;;;;;Wnt pathway;;;34017835
WNT3A;;;;FZD5;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5A;;;;FZD5;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT7A;;;;FZD5;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT10B;;;;FZD6;LRP6;;;;;Wnt pathway;;;30594556
WNT5B;;;;FZD6;LRP6;;;;;Wnt pathway;;;34017835
WNT3A;;;;FZD6;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT4;;;;FZD6;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5A;;;;FZD6;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT1;;;;FZD7;LRP6;;;;;Wnt pathway;;;28733458
WNT7A;;;;FZD7;LRP6;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD7;LRP6;;;;;Wnt pathway;;;28733458
WNT10B;;;;FZD7;LRP6;;;;;Wnt pathway;;;29979633
WNT5B;;;;FZD7;LRP6;;;;;Wnt pathway;;;34017835
WNT3;;;;FZD7;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT3A;;;;FZD7;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5B;;;;FZD8;LRP6;;;;;Wnt pathway;;;26849959
WNT1;;;;FZD8;LRP6;;;;;Wnt pathway;;;28733458
WNT10A;;;;FZD8;LRP6;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD8;LRP6;;;;;Wnt pathway;;;28733458
WNT7A;;;;FZD8;LRP6;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD8;LRP6;;;;;Wnt pathway;;;28733458
WNT8A;;;;FZD8;LRP6;;;;;Wnt pathway;;;28733458
WNT8B;;;;FZD8;LRP6;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD8;LRP6;;;;;Wnt pathway;;;28733458
WNT9B;;;;FZD8;LRP6;;;;;Wnt pathway;;;28733458
WNT3A;;;;FZD8;LRP6;;;;;Wnt pathway;;;"24032637; 35303793"
WNT9A;;;;FZD9;LRP6;EGFR;;;;Wnt pathway;;;31110287
WNT7A;;;;FZD9;LRP6;;;;;Wnt pathway;;;15705594
WNT2;;;;FZD9;LRP6;;;;;Wnt pathway;;;"19038973; 24032637; 35303793"
RSPO1;;;;KREMEN1;LRP6;;;;;Wnt pathway;;;17804805
1,00 DKK;;;;KREMEN1;LRP6;;;;;Wnt pathway;;;29925589
2,00 DKK;;;;KREMEN1;LRP6;;;;;Wnt pathway;;;29925589
4,00 DKK;;;;KREMEN1;LRP6;;;;;Wnt pathway;;;29925589
1,00 DKK;;;;KREMEN2;LRP6;;;;;Wnt pathway;;;12527209
2,00 DKK;;;;KREMEN2;LRP6;;;;;Wnt pathway;;;12527209
4,00 DKK;;;;KREMEN2;LRP6;;;;;Wnt pathway;;;12527209
WNT10A;;;;FZD1;LRP5;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD1;LRP5;;;;;Wnt pathway;;;28733458
WNT7A;;;;FZD1;LRP5;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD1;LRP5;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD1;LRP5;;;;;Wnt pathway;;;28733458
WNT5B;;;;FZD1;LRP5;;;;;Wnt pathway;;;34017835
WNT1;;;;FZD1;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT2;;;;FZD1;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT3A;;;;FZD1;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5A;;;;FZD1;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT7A;;;;FZD10;LRP5;;;;;Wnt pathway;;;18567805
WNT3;;;;FZD10;LRP5;;;;;Wnt pathway;;;28733458
WNT3A;;;;FZD10;LRP5;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD10;LRP5;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD10;LRP5;;;;;Wnt pathway;;;28733458
WNT9B;;;;FZD10;LRP5;;;;;Wnt pathway;;;28733458
WNT1;;;;FZD2;LRP5;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD2;LRP5;;;;;Wnt pathway;;;28733458
WNT3A;;;;FZD2;LRP5;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD2;LRP5;;;;;Wnt pathway;;;28733458
WNT5B;;;;FZD2;LRP5;;;;;Wnt pathway;;;34017835
WNT5A;;;;FZD2;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT2;;;;FZD3;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT3A;;;;FZD3;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5A;;;;FZD3;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5A;;;;FZD4;LRP5;;;;;Wnt pathway;;;16602827
WNT1;;;;FZD4;LRP5;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD4;LRP5;;;;;Wnt pathway;;;28733458
WNT3A;;;;FZD4;LRP5;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD4;LRP5;;;;;Wnt pathway;;;28733458
WNT9B;;;;FZD4;LRP5;;;;;Wnt pathway;;;28733458
WNT5B;;;;FZD4;LRP5;;;;;Wnt pathway;;;34017835
WNT2;;;;FZD4;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT2B;;;;FZD4;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT7B;;;;FZD4;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
NRP;;;;FZD4;LRP5;;;;;Wnt pathway;;;"28675177; 30135577"
WNT1;;;;FZD5;LRP5;;;;;Wnt pathway;;;28733458
WNT10A;;;;FZD5;LRP5;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD5;LRP5;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD5;LRP5;;;;;Wnt pathway;;;28733458
WNT8A;;;;FZD5;LRP5;;;;;Wnt pathway;;;28733458
WNT8B;;;;FZD5;LRP5;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD5;LRP5;;;;;Wnt pathway;;;28733458
WNT9B;;;;FZD5;LRP5;;;;;Wnt pathway;;;28733458
WNT5B;;;;FZD5;LRP5;;;;;Wnt pathway;;;34017835
WNT3A;;;;FZD5;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5A;;;;FZD5;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT7A;;;;FZD5;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT10B;;;;FZD6;LRP5;;;;;Wnt pathway;;;30594556
WNT5B;;;;FZD6;LRP5;;;;;Wnt pathway;;;34017835
WNT3A;;;;FZD6;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT4;;;;FZD6;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5A;;;;FZD6;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT1;;;;FZD7;LRP5;;;;;Wnt pathway;;;28733458
WNT7A;;;;FZD7;LRP5;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD7;LRP5;;;;;Wnt pathway;;;28733458
WNT10B;;;;FZD7;LRP5;;;;;Wnt pathway;;;29979633
WNT5B;;;;FZD7;LRP5;;;;;Wnt pathway;;;34017835
WNT3;;;;FZD7;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT3A;;;;FZD7;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT5B;;;;FZD8;LRP5;;;;;Wnt pathway;;;26849959
WNT1;;;;FZD8;LRP5;;;;;Wnt pathway;;;28733458
WNT10A;;;;FZD8;LRP5;;;;;Wnt pathway;;;28733458
WNT3;;;;FZD8;LRP5;;;;;Wnt pathway;;;28733458
WNT7A;;;;FZD8;LRP5;;;;;Wnt pathway;;;28733458
WNT7B;;;;FZD8;LRP5;;;;;Wnt pathway;;;28733458
WNT8A;;;;FZD8;LRP5;;;;;Wnt pathway;;;28733458
WNT8B;;;;FZD8;LRP5;;;;;Wnt pathway;;;28733458
WNT9A;;;;FZD8;LRP5;;;;;Wnt pathway;;;28733458
WNT9B;;;;FZD8;LRP5;;;;;Wnt pathway;;;28733458
WNT3A;;;;FZD8;LRP5;;;;;Wnt pathway;;;"24032637; 35303793"
WNT9A;;;;FZD9;LRP5;EGFR;;;;Wnt pathway;;;31110287
WNT7A;;;;FZD9;LRP5;;;;;Wnt pathway;;;15705594
WNT2;;;;FZD9;LRP5;;;;;Wnt pathway;;;"19038973; 24032637; 35303793"
CNTF;;;;CNTFR;LIFR;IL6ST;;;;Cytokine;type 1;;9143707
HLA-E;;;;KLRD1;KLRC2;;;;"KLRC2 = NKG2C ; KLRD1 = CD94";HLA recognition;;;"15771571; 9486650"
HLA-E;;;;KLRD1;KLRC1;;;;"KLRC1=NKG2A ; KLRD1 = CD94";HLA recognition;;;"15771571; 20567250 ; 11513152"
PGF;;;;FLT1;KDR;;;;;Growth factor;VEGF family;;"22828632 ; 8806634"
VEGFB;;;;FLT1;KDR;;;;;Growth factor;VEGF family;;"22828632 ; 8806634"
VEGFA;;;;FLT1;KDR;;;;;Growth factor;VEGF family;;"8806634 ; 11181169 ; 22828632"
SEMA6D;;;;PLXNA1;KDR;;;;;;Semaphorin;;19176370
VTN;;;;ITGAV;ITGB5;;;;;Cell adhesion;;;7685013
PLAUR;;;;ITGAV;ITGB5;;;;;Cell adhesion;;;12615913
FCER2;;;;ITGAV;ITGB5;;;;;Cell adhesion;;;22560905
ADAM9;;;;ITGAV;ITGB5;;;;;ECM interaction;;;11162558
L1CAM;;;;ITGA2B;ITGB3;;;;;Cell adhesion;;;9396761
CD40LG;;;;ITGA2B;ITGB3;;;;;Cell adhesion;;;"22461623; 11875495"
FN1;;;;ITGA2B;ITGB3;;;;;ECM interaction;FN1;;33731188
SPP1;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;7532190
L1CAM;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;9396761
NID1;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;9686320
ANGPTL3;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;11877390
FGF1;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;18441324
MMP2;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;20027628
FBN1;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;20686071
FGF2;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;28302677
EDIL3;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;28846069
THY1;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;29212879
FCER2;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;"10037797; 22560905"
PLAUR;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;"11053440; 14985115; 12615913"
VTN;;;;ITGAV;ITGB3;;;;;Cell adhesion;;;"11331280; 10037797"
FN1;;;;ITGAV;ITGB3;;;;;ECM interaction;FN1;;33731188
ICAM5;;;;ITGAL;ITGB2;;;;;Cell adhesion;;;10741396
HP;;;;ITGAM;ITGB2;;;;ITGAM=CD11b;Cell adhesion;;;8786317
THY1;;;;ITGAM;ITGB2;;;;;Cell adhesion;;;15004192
CD40LG;;;;ITGAM;ITGB2;;;;ITGB2=CD18;Cell adhesion;;;"28676852; 22461623"
THY1;;;;ITGAX;ITGB2;;;;;Cell adhesion;;;15850796
ICAM1;;;;ITGAX;ITGB2;;;;"ITGAX=CD11c ; ITGB2=CD18";Cell adhesion;;;16252253
TIMP1;;;;CD63;ITGB1;;;;;Cell adhesion;;;16917503
ADAM9;;;;ITGA1;ITGB1;;;;;ECM interaction;;;15361064
CSPG4;;;;ITGA2;ITGB1;;;;;Cell adhesion;;;11278606
CSPG4;;;;ITGA3;ITGB1;;;;;Cell adhesion;;;11278606
TIMP2;;;;ITGA3;ITGB1;;;;;Cell adhesion;;;12887919
ADAM9;;;;ITGA3;ITGB1;;;;;ECM interaction;;;15361064
CSPG4;;;;ITGA4;ITGB1;;;;;Cell adhesion;;;10587647
CD14;;;;ITGA4;ITGB1;;;;;Cell adhesion;;;17274987
ADAM28;;;;ITGA4;ITGB1;;;;;ECM interaction;;;11724793
ANGPT1;;;;ITGA5;ITGB1;;;;;Cell adhesion;;;15781448
FBN1;;;;ITGA5;ITGB1;;;;;Cell adhesion;;;20686071
ANGPT2;;;;ITGA5;ITGB1;;;;;Cell adhesion;;;25635707
ADAM17;;;;ITGA5;ITGB1;;;;;ECM interaction;;;14970227
ADAM9;;;;ITGA6;ITGB1;;;;;ECM interaction;;;15361064
TSPAN1;;;;ITGA6;ITGB1;;;;;Cell adhesion;;;18851943
VTN;;;;ITGA8;ITGB1;;;;;Cell adhesion;;;7559467
PLG;;;;ITGA9;ITGB1;;;;;Cell adhesion;;;15247268
L1CAM;;;;ITGAV;ITGB1;;;;;Cell adhesion;;;9396761
ADAM9;;;;ITGAV;ITGB1;;;;;ECM interaction;;;15361064
FCER2;;;;ITGB2;ITGAX;;;;FCER2=CD23;Cell adhesion;;;7621072
C3;;;;ITGB2;ITGAX;;;;"CD11c= ITGAX ; CD18=ITGB2";Innate immune;Complement;;4062888
FCER2;;;;CD47;ITGAV;ITGB3;;;;Cell adhesion;;;10037797
SPP1;;;;ITGB1;ITGAV;;;;;Cell adhesion;;;10673366
FN1;;;;ITGB1;ITGAV;;;;;ECM interaction;FN1;;"33731188; 8314844"
TNC;;;;ITGB3;ITGAV;;;;Integrin;Cell adhesion;;;9314546
SPP1;;;;ITGB5;ITGAV;;;;;Cell adhesion;;;10673366
FN1;;;;ITGB6;ITGAV;;;;;ECM interaction;FN1;;"8120056; 33731188"
VCAM1;;;;ITGB2;ITGAM;;;;;Cell adhesion;;;6943205
FCER2;;;;ITGB2;ITGAM;;;;;Cell adhesion;;;7621072
JAM3;;;;ITGB2;ITGAM;;;;;Cell adhesion;;;16093349
GP1BA;;;;ITGB2;ITGAM;;;;;Cell adhesion;;;"14530377 ; 35922511"
C3;;;;ITGB2;ITGAM;;;;CR3=Mac-1=aMb2 integrin;Innate immune;Complement;;4062888
ICAM2;;;;ITGB2;ITGAL;;;;;Cell adhesion;;;10427988
ICAM3;;;;ITGB2;ITGAL;;;;;Cell adhesion;;;10427988
F11R;;;;ITGB2;ITGAL;;;;F11R=JAM1;Cell adhesion;;;11812992
ICAM4;;;;ITGB2;ITGAL;;;;;Cell adhesion;;;35922511
ICAM1;;;;ITGB2;ITGAL;;;;"ITGAL=LFA-1=CD11a ; ITGB2=CD18 ; ICAM=CD54";Cell adhesion;;;"23418628;10940895"
CDH1;;;;ITGB7;ITGAE;;;;;Cell adhesion;;;9425167
ICAM3;;;;ITGB2;ITGAD;;;;;Cell adhesion;;;8777714
VCAM1;;;;ITGB2;ITGAD;;;;;Cell adhesion;;;16943205
SPP1;;;;ITGB1;ITGA9;;;;;Cell adhesion;;;8910476
VCAM1;;;;ITGB1;ITGA9;;;;"ITGB1=CD29 ;";Cell adhesion;;;10209034
F13A1;;;;ITGB1;ITGA9;;;;;Cell adhesion;;;10816592
L1CAM;;;;ITGB1;ITGA9;;;;;Cell adhesion;;;10871287
FN1;;;;ITGB1;ITGA9;;;;;ECM interaction;FN1;;11839764
SPP1;;;;ITGB1;ITGA8;;;;;Cell adhesion;;;9614184
FN1;;;;ITGB1;ITGA8;;;;;ECM interaction;FN1;;33731188
TNC;;;;ITGB1;ITGA7;;;;Integrin;Cell adhesion;;;14715956
L1CAM;;;;ITGB1;ITGA5;;;;;Cell adhesion;;;9396761
SPP1;;;;ITGB1;ITGA5;;;;;Cell adhesion;;;10673366
F13A1;;;;ITGB1;ITGA5;;;;;Cell adhesion;;;10816592
SPON2;;;;ITGB1;ITGA5;;;;;Cell adhesion;;;29440144
CD40LG;;;;ITGB1;ITGA5;;;;;Cell adhesion;;;"28676852; 22461623"
FN1;;;;ITGB1;ITGA5;;;;;ECM interaction;FN1;;33731188
SPP1;;;;ITGB1;ITGA4;;;;;Cell adhesion;;;9547293
PLAUR;;;;ITGB1;ITGA4;;;;;Cell adhesion;;;11053440
JAM2;;;;ITGB1;ITGA4;;;;;Cell adhesion;;;12070135
VCAM1;;;;ITGB1;ITGA4;;;;"ITGB1=CD29 ; ITGA2=CD49D ; complex= VLA4";Cell adhesion;;;15263094
SPON2;;;;ITGB1;ITGA4;;;;;Cell adhesion;;;29440144
FN1;;;;ITGB1;ITGA4;;;;;ECM interaction;FN1;;"11839764; 33731188"
MADCAM1;;;;ITGB7;ITGA4;;;;;Cell adhesion;;;20118278
VCAM1;;;;ITGB7;ITGA4;;;;;Cell adhesion;;;20118278
FN1;;;;ITGB7;ITGA4;;;;;ECM interaction;FN1;;33731188
FN1;;;;ITGB1;ITGA3;;;;;ECM interaction;FN1;;33731188
CDH1;;;;ITGB1;ITGA2;;;;;Cell adhesion;;;12392763
HSPG2;;;;ITGB1;ITGA2;;;;;ECM interaction;;;15240572
COL10A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL11A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL11A2;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL12A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL13A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL14A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL15A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL16A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL17A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL18A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL19A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL1A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL1A2;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL20A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL21A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL22A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL24A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL26A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL27A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL28A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL2A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL3A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
COL4A1;;;;ITGB1;ITGA2;;;;;ECM interaction;COL;;"15147720; 26857815; 16988024; 21421911"
